id,name,postcode,latitude,longitude
6c7f8a8b-f189-403e-a22f-65ce4f9e0547,"North Clwyd Animal Rescue","CH8 9BD",53.311893,-3.324518
793bcf71-c86e-4fb5-b6e8-258b44b46440,"Oak Tree Animals' Charity","CA4 8JA",54.864056,-2.838337
b0d1d465-59e8-4463-b673-e928f287dc68,"Oldies Club","WA2 0UT",53.421976,-2.56411
0eec263d-31d4-49cc-a015-5c454401ae7f,"Paws Animal Sanctuary","BN14 0TN",50.872547,-0.406703
dfd6e1e1-ac0e-47e1-97b1-dcc450557f86,"Pennine Pen Animal Rescue","OL8 2JP",53.528687,-2.106281
08e0058e-12e1-42e6-8a93-147e1f46d280,"Pointer Rescue Service","BH22 8LT",50.793538,-1.881386
626ecab5-0ab0-4bc3-afbb-b3af05682a82,"Redwings Horse Sanctuary","NR15 1SP",52.523165,1.220402
3ae88863-e924-4109-81f0-ffcc37bf0b2e,"Rochdale Dog Rescue","OL11 2JB",53.594734,-2.155022
1fb40c3c-5071-4f19-b1b0-7ef06dbb5d5d,"Shropshire Cat Rescue","SY3 0AU",52.664352,-2.773047
a8049611-92fa-481c-b111-4b1212c76fb8,"Wild at Heart Foundation","SW8 4UN",51.47456,-0.141385
e2d11f43-3d87-4fdf-a606-fd0b6628eccf,"Yorkshire Coast Dog Rescue","YO12 6NN",54.288958,-0.431838
